"country","city"
"Afghanistan","A Corua (La Corua)"
"Algeria","Abha"
"American Samoa","Abu Dhabi"
"Angola","Acua"
"Anguilla","Adana"
"Argentina","Addis Abeba"
"Armenia","Aden"
"Australia","Adoni"
"Austria","Ahmadnagar"
"Azerbaijan","Akishima"
"Bahrain","Akron"
"Bangladesh","al-Ayn"
"Belarus","al-Hawiya"
"Bolivia","al-Manama"
"Brazil","al-Qadarif"
"Brunei","al-Qatif"
"Bulgaria","Alessandria"
"Cambodia","Allappuzha (Alleppey)"
"Cameroon","Allende"
"Canada","Almirante Brown"
"Chad","Alvorada"
"Chile","Ambattur"
"China","Amersfoort"
"Colombia","Amroha"
"Congo, The Democratic Republic of the","Angra dos Reis"
"Czech Republic","Anpolis"
"Dominican Republic","Antofagasta"
"Ecuador","Aparecida de Goinia"
"Egypt","Apeldoorn"
"Estonia","Araatuba"
"Ethiopia","Arak"
"Faroe Islands","Arecibo"
"Finland","Arlington"
"France","Ashdod"
"French Guiana","Ashgabat"
"French Polynesia","Ashqelon"
"Gambia","Asuncin"
"Germany","Athenai"
"Greece","Atinsk"
"Greenland","Atlixco"
"Holy See (Vatican City State)","Augusta-Richmond County"
"Hong Kong","Aurora"
"Hungary","Avellaneda"
"India","Bag"
"Indonesia","Baha Blanca"
"Iran","Baicheng"
"Iraq","Baiyin"
"Israel","Baku"
"Italy","Balaiha"
"Japan","Balikesir"
"Kazakstan","Balurghat"
"Kenya","Bamenda"
"Kuwait","Bandar Seri Begawan"
"Latvia","Banjul"
"Liechtenstein","Barcelona"
"Lithuania","Basel"
"Madagascar","Bat Yam"
"Malawi","Batman"
"Malaysia","Batna"
"Mexico","Battambang"
"Moldova","Baybay"
"Morocco","Bayugan"
"Mozambique","Bchar"
"Myanmar","Beira"
"Nauru","Bellevue"
"Nepal","Belm"
"Netherlands","Benguela"
"New Zealand","Beni-Mellal"
"Nigeria","Benin City"
"North Korea","Bergamo"
"Oman","Berhampore (Baharampur)"
"Pakistan","Bern"
"Paraguay","Bhavnagar"
"Peru","Bhilwara"
"Philippines","Bhimavaram"
"Poland","Bhopal"
"Puerto Rico","Bhusawal"
"Romania","Bijapur"
"Runion","Bilbays"
"Russian Federation","Binzhou"
"Saint Vincent and the Grenadines","Birgunj"
"Saudi Arabia","Bislig"
"Senegal","Blumenau"
"Slovakia","Boa Vista"
"South Africa","Boksburg"
"South Korea","Botosani"
"Spain","Botshabelo"
"Sri Lanka","Bradford"
"Sudan","Braslia"
"Sweden","Bratislava"
"Switzerland","Brescia"
"Taiwan","Brest"
"Tanzania","Brindisi"
"Thailand","Brockton"
"Tonga","Bucuresti"
"Tunisia","Buenaventura"
"Turkey","Bydgoszcz"
"Turkmenistan","Cabuyao"
"Tuvalu","Callao"
"Ukraine","Cam Ranh"
"United Arab Emirates","Cape Coral"
"United Kingdom","Caracas"
"United States","Carmen"
"Venezuela","Cavite"
"Vietnam","Cayenne"
"Virgin Islands, U.S.","Celaya"
"Yemen","Chandrapur"
"Yugoslavia","Changhwa"
"Zambia","Changzhou"
